Assembly,Type,Part,Quantity,Source,Unit Price,Total Price,Alt Source,Note
dragon-burner-toolhead,buy,Gdstime 4010 24V H Blower 2P2.54 Fan,2,https://s.click.aliexpress.com/e/_c4E8RYo3,5.14,10.28,https://amzn.to/45YBXcp,
dragon-burner-toolhead,reference,Sherpa Mini Extruder (Annex Engineering),1,https://github.com/Annex-Engineering/Sherpa_Mini-Extruder,,,,Upstream project - extruder selection used with this build see project for full BOM
dragon-burner-toolhead,buy,Sherpa Mini Hardware Kit (bearings/pins/springs),1,https://s.click.aliexpress.com/e/_c4qK86KB,4.08,4.08,https://amzn.to/3Sp1WWZ,Self-printed Sherpa Mini; cheap AliExpress hardware kit estimate
dragon-burner-toolhead,print,dragonburner-cowl.STL,1,,,,,
dragon-burner-toolhead,buy,35mm M3 Socket Head Cap Screws,2,https://s.click.aliexpress.com/e/_c3tmFYGL,0.23,2.25,https://amzn.to/4xbUg9I,"$2.25 per 10pc pack, only sold as a full pack"
dragon-burner-toolhead,print,ebb36-strain-relief-cover.STL,1,,,,,
dragon-burner-toolhead,buy,M3 12mm Standoff (Male-Female),2,,,,,Covered by overall misc hardware estimate see main README
dragon-burner-toolhead,buy,M3 18mm Standoff (Female-Female),2,,,,,Covered by overall misc hardware estimate see main README
dragon-burner-toolhead,buy,M3 Heatset Insert 5mm D x 4mm L,1,,,,,Same insert used elsewhere in this project; covered by overall misc hardware estimate see main README
dragon-burner-toolhead,buy,M3 20mm Button Head Cap Screw,2,,,,,Covered by overall misc hardware estimate see main README
dragon-burner-toolhead,buy,M3 8mm Socket Head Cap Screw,2,,,,,Covered by overall misc hardware estimate see main README
dragon-burner-toolhead,buy,Velcro or Zip Tie,1,,,,,Secures the strain relief connection; covered by overall misc hardware estimate see main README
can-distribution-board-mount,print,can-distribution-board-mount.STL,1,,,,,Files coming soon
can-distribution-board-mount,buy,FYSETC CAN Bus Distribution Board for StealthChanger,1,https://www.fabreeko.com/products/can-bus-distribution-board-for-stealth-changer-by-fysetc,19.99,19.99,,6-channel switched CAN/power distribution
can-distribution-board-mount,buy,M3 8mm Thread Rolling Screw,4,,,,,Mounts the distribution board to the mount; covered by overall misc hardware estimate see main README
can-distribution-board-mount,buy,M3 10mm Socket Head Cap Screw,2,,,,,Attaches the mount to the Umbilical Backplate; covered by overall misc hardware estimate see main README
can-distribution-board-mount,reference,BTT U2C CAN Bridge,1,https://amzn.to/45Fp9Hz,19.99,19.99,https://s.click.aliexpress.com/e/_c3FzcP0n,Suggested pairing (host-side USB-to-CAN adapter) not part of this mount enclosure
filament,buy,Polymaker ASA Pop Blue (Cyan),1,https://amzn.to/4gcIvKo,,,,ASA only; see main README for full filament color list
filament,buy,MatterHackers Magenta ABS,1,https://www.matterhackers.com/store/3d-printer-filament/magenta-abs-filament-1.75mm,,,,ABS only; see main README for full filament color list
filament,buy,MatterHackers Yellow ABS,1,https://www.matterhackers.com/store/l/175mm-abs-filament-yellow-1-kg/sk/M-1NX-QXFR,,,,ABS only; see main README for full filament color list
filament,buy,Polymaker White (ABS or ASA - pick one),1,https://amzn.to/4cA1c8l,,,https://amzn.to/45FyLlC,ASA alternative; See main README for full filament color list
filament,buy,Polymaker Gray (ABS or ASA - pick one),1,https://amzn.to/4xRpfb5,,,https://amzn.to/3ULpFkU,ASA alternative; See main README for full filament color list
filament,buy,Polymaker Black (ABS or ASA - pick one),1,https://amzn.to/4zvPRzW,,,https://amzn.to/4xUeXqN,ASA alternative; See main README for full filament color list
